type	species	x_m	y_m	ht_m	dbh_cm
Stump	PIPO	142.64	163.93	3.57	5.58
Stump	PIPO	86.42	191.61	3.57	5.58
Stump	PIPO	51.95	176.12	3.57	5.58
Stump	PIPO	58.57	189.84	3.57	5.58
Stump	PIPO	49.69	193.54	3.57	5.58
Tree	PIPO	176.46	175.59	3.58	8.64
Tree	PIPO	159.6	194.16	3.62	9.65
Stump	PSME	12.51	190.28	3.62	8.71
Tree	PIPO	100.62	31.94	3.64	12.7
Stump	PIPO	36.73	0	3.65	5.8
Stump	PIPO	56.04	1.78	3.65	5.8
Stump	PIPO	126.58	88.62	3.65	5.8
Stump	PIPO	132.79	81.61	3.65	5.8
Stump	PIPO	51.67	76.42	3.65	5.8
Stump	PIPO	30.65	99.66	3.65	5.8
Stump	PIPO	32.44	78.34	3.65	5.8
Stump	PIPO	39.19	106.26	3.65	5.8
Stump	PIPO	84.6	166.77	3.65	5.8
Stump	PIPO	75	173.5	3.65	5.8
Stump	PIPO	100	171.04	3.65	5.8
Stump	PIPO	119.83	151	3.65	5.8
Stump	PIPO	134.5	160.19	3.65	5.8
Stump	POTR	43.24	143.05	3.65	4.73
Stump	POTR	104.19	164.23	3.65	4.73
Stump	POTR	146.93	180.35	3.65	4.73
Tree	PIPO	192.78	72.92	3.66	10.67
Stump	PIPO	148.52	28.22	3.72	6.02
Stump	PIPO	21.04	63.66	3.72	6.02
Stump	PIPO	25.23	60.02	3.72	6.02
Stump	PIPO	91.85	103.58	3.72	6.02
Stump	PIPO	162.02	144.77	3.72	6.02
Stump	PIPO	113.09	144.71	3.72	6.02
Stump	PIPO	90.14	129.57	3.72	6.02
Stump	PIPO	13.78	159.4	3.72	6.02
Stump	PIPO	98.16	157.21	3.72	6.02
Stump	PIPO	119.49	154	3.72	6.02
Stump	PIPO	115.66	150.16	3.72	6.02
Stump	PIPO	180.39	159.42	3.72	6.02
Stump	PIPO	191.23	166.81	3.72	6.02
Stump	PIPO	200	191.63	3.72	6.02
Stump	PIPO	93.34	183.75	3.72	6.02
Tree	PIPO	157.48	34.55	3.74	10.92
Stump	POTR	104.72	159.02	3.77	4.95
Stump	POTR	140.24	173.29	3.77	4.95
Stump	POTR	143.41	173.31	3.77	4.95
Stump	POTR	152.75	181.01	3.77	4.95
Stump	POTR	112.52	176.65	3.77	4.95
Stump	PSME	20.55	159.32	3.79	9.11
Stump	PSME	16.68	191.45	3.79	9.11
Stump	PIPO	34.31	0.54	3.8	6.25
Stump	PIPO	129.67	84.78	3.8	6.25
Stump	PIPO	190.42	147.03	3.8	6.25
Stump	PIPO	22.94	134.41	3.8	6.25
Stump	PIPO	60.35	165.23	3.8	6.25
Stump	PIPO	69.91	163.99	3.8	6.25
Stump	PIPO	98.18	155.61	3.8	6.25
Stump	PIPO	120.72	156.1	3.8	6.25
Stump	PIPO	125.27	160.9	3.8	6.25
Stump	PIPO	37.72	191.58	3.8	6.25
Stump	PIPO	14.17	190.52	3.8	6.25
Stump	PIPO	34.08	132.3	3.8	6.25
Tree	PIPO	170.13	188.38	3.8	8.64
Tree	PIPO	182.72	31.93	3.86	17.53
Stump	PIPO	26.39	7.94	3.87	6.47
Stump	PIPO	63.92	10.84	3.87	6.47
Stump	PIPO	94.21	9.12	3.87	6.47
Stump	PIPO	188.07	4.15	3.87	6.47
Stump	PIPO	72.36	67.47	3.87	6.47
Stump	PIPO	39.2	105.11	3.87	6.47
Stump	PIPO	37.97	154.02	3.87	6.47
Stump	PIPO	84.62	151.45	3.87	6.47
Stump	PIPO	175.2	166.67	3.87	6.47
Tree	PIPO	180.19	24.42	3.87	10.41
Stump	PSME	94.56	180.98	3.87	9.32
Stump	PSME	44.36	140.91	3.87	9.32
Stump	POTR	109.67	169.57	3.89	5.18
Stump	POTR	142.33	178.12	3.89	5.18
Stump	POTR	106.4	185.69	3.89	5.18
Stump	POTR	96.43	196.43	3.89	5.18
Tree	PIPO	129.4	53.34	3.9	10.67
Tree	PIPO	143.58	184.79	3.92	10.67
Tree	PIPO	109.28	50.36	3.93	8.38
Stump	PIPO	56.02	1.77	3.95	6.69
Stump	PIPO	198.24	7.42	3.95	6.69
Stump	PIPO	143.21	27.59	3.95	6.69
Stump	PIPO	99.42	96.53	3.95	6.69
Stump	PIPO	34.23	116.85	3.95	6.69
Stump	PIPO	26.09	106.73	3.95	6.69
Stump	PIPO	91.34	102.5	3.95	6.69
Stump	PIPO	150.09	149.64	3.95	6.69
Stump	PIPO	4.54	136.42	3.95	6.69
Stump	PIPO	22.75	161.95	3.95	6.69
Stump	PIPO	4.42	157.57	3.95	6.69
Stump	PIPO	43.13	164.89	3.95	6.69
Stump	PIPO	36.55	166.13	3.95	6.69
Stump	PIPO	28.23	154	3.95	6.69
Stump	PIPO	32.47	167.6	3.95	6.69
Stump	PIPO	52.66	168.91	3.95	6.69
Stump	PIPO	56.24	167.82	3.95	6.69
Stump	PIPO	72.25	173.44	3.95	6.69
Stump	PIPO	68.11	173.26	3.95	6.69
Stump	PIPO	95.38	154.71	3.95	6.69
Stump	PIPO	164.91	156.45	3.95	6.69
Stump	PIPO	175.83	173.63	3.95	6.69
Stump	PIPO	187.55	166.17	3.95	6.69
Stump	PIPO	190.34	170.88	3.95	6.69
Stump	PIPO	79.13	178.13	3.95	6.69
Stump	PIPO	55.67	175.3	3.95	6.69
Stump	PIPO	64.5	184.27	3.95	6.69
Stump	PIPO	53.99	185.28	3.95	6.69
Stump	PIPO	50.86	194	3.95	6.69
Tree	PSME	59.31	104.68	3.97	7.11
Tree	PIPO	143.11	183.72	4	9.91
Tree	POTR	104.17	163.36	4	5.84
Stump	POTR	44	141.69	4.01	5.41
Stump	POTR	113.94	175.89	4.01	5.41
Stump	PIPO	42.28	56.09	4.03	6.92
Stump	PIPO	114.36	51.33	4.03	6.92
Stump	PIPO	51.79	87.57	4.03	6.92
Stump	PIPO	21.8	138.46	4.03	6.92
Stump	PIPO	20.86	158.81	4.03	6.92
Stump	PIPO	75	170	4.03	6.92
Tree	PIPO	46.72	156.56	4.04	15.49
Tree	PIPO	132.09	9.48	4.05	12.45
Tree	PIPO	193.51	155.38	4.06	16.76
