"","site","x","y","z","dbh","height","species","crownArea","crownCentroidX","crownCentroidY","crownVectorLen","crownVectorDir"
"255",8,20.276,4.625,-3.673,31.4,14.201,"Pinus sylvestris",25.870052,20.58516354,4.054856078,0.648572424,151.5310037
"256",8,25.794,-0.923,-4.452,24.1,15.315,"Pinus sylvestris",9.001846,25.89952186,-1.236549007,0.330829022,161.3998428
"257",8,21.401,15.475,-3.548,34,14.553,"Pinus sylvestris",20.4946875,21.9630182,15.38469042,0.569227795,99.12870823
"258",8,30.754,22.915,-4.802,28.5,19.341,"Pinus sylvestris",7.231368,30.71990995,22.25903361,0.656851611,182.9749392
"259",8,28.943,25.054,-4.706,16.1,15.083,"Pinus sylvestris",1.5922025,28.5439723,25.26929516,0.453403923,298.3490545
"260",8,29.333,31.71,-4.283,43.3,21.67,"Pinus sylvestris",17.62063,29.30343013,31.02598015,0.684658701,182.4753292
"261",8,20.781,25.498,-2.332,52.8,18.555,"Pinus sylvestris",36.809262,21.30491836,25.07698553,0.672118764,128.7849383
"262",8,13.404,22.602,-1.036,37.6,21.006,"Pinus sylvestris",14.4411245,13.68509469,22.5598086,0.284243452,98.53618605
"263",9,-1.357,2.722,-0.117,29.3,16.988,"Pinus sylvestris",21.005292,-0.965855355,1.640361843,1.150189218,160.1188718
"264",9,-0.116,4.52,-0.228,27.6,17.465,"Pinus sylvestris",11.899093,-0.106783707,4.689885747,0.170135555,3.105249009
"265",9,0.257,12.176,-0.36,26.3,16.95,"Pinus sylvestris",10.196046,0.622303414,11.94463434,0.432407972,122.3482084
"266",9,-1.055,15.525,-0.421,26.5,19.043,"Pinus sylvestris",10.031164,-1.370751852,15.73708445,0.380366989,303.8884989
"267",9,2.41,18.559,-0.415,32.5,16.21,"Pinus sylvestris",16.078342,2.067091329,18.50248765,0.347534174,260.6416083
"268",9,1.405,26.083,-0.569,38.2,17.418,"Pinus sylvestris",21.745729,0.870192325,25.28958199,0.956834048,213.9821516
"269",9,5.308,27.476,-0.835,25.5,15.106,"Pinus sylvestris",10.634332,5.619332598,27.79308689,0.44437831,44.47537043
"270",9,6.071,25.098,-1.036,18.7,14.487,"Pinus sylvestris",5.2992505,6.1977895,24.92661676,0.213184874,143.5059247
"271",9,9.966,18.85,-1.592,26.6,21.647,"Pinus sylvestris",9.802748,9.720258698,18.5218632,0.409954325,216.829501
"272",9,11.201,23.259,-1.447,27.8,16.756,"Pinus sylvestris",8.1646595,10.98725196,23.37291027,0.242206053,298.0539759
"273",9,18.294,25.05,-2.053,43.5,23.156,"Pinus sylvestris",14.3200025,18.9722573,24.89412617,0.695937941,102.9427069
"274",9,24.145,30.337,-2.558,23.1,16.799,"Pinus sylvestris",7.0492715,23.94626398,30.39802225,0.207893527,287.0691968
"275",9,33.511,27.837,-3.36,30.5,20.127,"Pinus sylvestris",15.6667415,33.06602446,27.01757571,0.932448072,208.5034804
"276",9,20.325,19.911,-2.315,43.8,16.032,"Pinus sylvestris",33.518002,19.83829803,19.32187205,0.764166573,219.5614634
"277",9,14.297,15.291,-2.058,25,15.395,"Pinus sylvestris",7.6055295,14.07537083,14.90162862,0.448028527,209.6484185
"278",9,14.882,11.75,-2.214,17,13.898,"Pinus sylvestris",3.2783715,14.77486247,11.4826785,0.287991725,201.8400039
"279",9,14.078,4.643,-2.01,37.2,17.328,"Pinus sylvestris",21.4567755,13.54820836,4.621341447,0.530234166,267.6589796
"280",9,10.647,-0.321,-2.303,30.4,16.374,"Pinus sylvestris",14.15858,10.71550086,-1.011954941,0.694342206,174.3382315
"281",9,17.101,-0.253,-2.441,25.7,16.94,"Pinus sylvestris",6.1426225,16.80516094,-0.383297119,0.323261642,246.2297506
"282",9,21.713,2.256,-3.022,37.6,14.68,"Pinus sylvestris",14.477095,21.52170089,1.447564479,0.8307607,193.312957
"283",9,26.873,2.871,-3.628,15,11.492,"Pinus sylvestris",3.0891405,27.22438287,2.844659004,0.3523688,94.28709097
"284",9,27.651,5.719,-3.528,19.2,12.193,"Pinus sylvestris",4.037437,27.37659681,5.405049407,0.416967726,221.1545313
"285",9,28.224,5.625,-3.534,10.5,9.065,"Pinus sylvestris",0.617309,28.66604357,5.509476446,0.456889716,104.6460939
"286",10,0.966,-1.302,-0.106,27.8,17.121,"Pinus sylvestris",17.111507,0.628620567,-2.239470599,0.996331273,199.7929255
"287",10,4.98,0.866,-0.308,27.8,15.195,"Pinus sylvestris",9.406765,4.890235036,0.726516568,0.165871566,212.7634234
"288",10,0.925,3.976,-0.479,30.4,16.405,"Pinus sylvestris",16.821263,0.615942637,3.390787275,0.661808422,207.8390336
